"Date Opened","Time Opened","Opening Price","Legs","Premium","Closing Price","Date Closed","Time Closed","Avg. Closing Cost","Reason For Close","P/L","No. of Contracts","Funds at Close","Margin Req.","Strategy","Opening Commissions + Fees","Closing Commissions + Fees","Opening Short/Long Ratio","Closing Short/Long Ratio","Gap","Movement","Max Profit","Max Loss"
"2024-03-08","15:48:00",5131.65,"14 Mar 14 5075 P STO 13.05 | 14 Mar 14 5215 C STO 6.20 | 14 Mar 15 5075 P BTO 15.70 | 14 Mar 15 5215 C BTO 8.30",-480,5154.74,"2024-03-14","09:50:00",-355,"Exited at Specified Time",-1884.4,14,132646,6720,"",67.2,67.2,0.8,0.133,7.1,-32.81,12.5,-26.04
"2024-03-01","15:48:00",5137.83,"10 Mar 7 5100 P STO 10.10 | 10 Mar 7 5200 C STO 5.00 | 10 Mar 8 5100 P BTO 13.80 | 10 Mar 8 5200 C BTO 8.00",-675,5075.43,"2024-03-05","13:51:00",-565,"Above Delta",-1196,10,134530.4,6750,"",48,48,0.69,0.86,2.24,39.32,7.41,-21.48
"2024-02-23","15:48:00",5094.07,"14 Feb 29 5055 P STO 9.90 | 14 Feb 29 5160 C STO 4.60 | 14 Mar 1 5055 P BTO 12.50 | 14 Mar 1 5160 C BTO 6.60",-465,5091.46,"2024-02-29","09:50:00",-405,"Exited at Specified Time",-974.4,14,135726.4,6510,"",67.2,67.2,0.76,0.226,13.89,-6.85,25.81,-15.05
"2024-02-16","15:48:00",5004.81,"13 Feb 22 4960 P STO 10.85 | 13 Feb 22 5075 C STO 4.80 | 13 Feb 23 4960 P BTO 13.60 | 13 Feb 23 5075 C BTO 6.90",-490,5055.8,"2024-02-22","09:48:00",-665,"Profit Target",2150.2,13,136700.8,6370,"",62.4,62.4,0.76,0.348,1.4,-26.32,39.8,-29.59
"2024-02-09","15:48:00",5021.98,"16 Feb 15 4980 P STO 10.15 | 16 Feb 15 5090 C STO 4.45 | 16 Feb 16 4980 P BTO 12.40 | 16 Feb 16 5090 C BTO 6.20",-405,4954.24,"2024-02-13","09:32:00",-375,"Above Delta",-633.6,16,134550.6,6480,"",76.8,76.8,0.78,0.901,6.26,17.81,11.11,-6.17
"2024-02-02","15:48:00",4963.84,"13 Feb 8 4925 P STO 10.85 | 13 Feb 8 5030 C STO 5.20 | 13 Feb 9 4925 P BTO 13.70 | 13 Feb 9 5030 C BTO 7.30",-500,4991.11,"2024-02-08","09:50:00",-300,"Exited at Specified Time",-2724.8,13,135184.2,6500,"",62.4,62.4,0.76,0.164,9.87,47.78,3,-39
"2024-01-19","15:48:00",4836.27,"15 Jan 25 4800 P STO 9.70 | 15 Jan 25 4900 C STO 4.25 | 15 Jan 26 4800 P BTO 12.10 | 15 Jan 26 4900 C BTO 6.20",-440,4887.01,"2024-01-25","09:32:00",-600,"Profit Target",2256,15,137909,6600,"",72,72,0.76,0.424,15.34,39.99,37.5,-25
"2024-01-12","15:48:00",4781.93,"15 Jan 18 4750 P STO 8.30 | 15 Jan 18 4835 C STO 3.70 | 15 Jan 19 4750 P BTO 10.80 | 15 Jan 19 4835 C BTO 5.65",-450,4731.92,"2024-01-17","09:32:00",-455,"Above Delta",-69,15,135653,6750,"",72,72,0.73,0.846,10.94,-9.25,18.89,-2.22
"2024-01-05","15:48:00",4690.31,"15 Jan 11 4650 P STO 9.95 | 15 Jan 11 4760 C STO 4.50 | 15 Jan 12 4650 P BTO 12.60 | 15 Jan 12 4760 C BTO 6.30",-450,4774.78,"2024-01-10","13:05:00",-380,"Below Delta",-1194,15,135722,6750,"",72,72,0.76,0.876,1.89,-0.26,5.56,-30
"2023-12-15","15:48:00",4711.9,"18 Dec 21 4680 P STO 8.10 | 18 Dec 21 4770 C STO 3.95 | 18 Dec 22 4680 P BTO 10.10 | 18 Dec 22 4770 C BTO 5.60",-370,4771.94,"2023-12-20","12:01:00",-500,"Profit Target",2167.2,18,136916,6660,"",86.4,86.4,0.77,0.727,-5.32,-2.33,40.54,-5.41
"2023-12-08","15:48:00",4607.63,"21 Dec 14 4565 P STO 11.40 | 21 Dec 14 4685 C STO 5.00 | 21 Dec 15 4565 P BTO 13.10 | 21 Dec 15 4685 C BTO 6.40",-315,4677.76,"2023-12-13","14:31:00",-430,"Profit Target",2213.4,21,134748.8,6615,"",100.8,100.8,0.84,0.764,-9.39,31.43,38.1,-22.22
"2023-12-01","15:48:00",4591.58,"10 Dec 7 4555 P STO 8.30 | 10 Dec 7 4650 C STO 4.70 | 10 Dec 8 4555 P BTO 11.60 | 10 Dec 8 4650 C BTO 7.65",-630,4569.19,"2023-12-07","09:47:00",-855,"Profit Target",2154,10,132535.4,6300,"",48,48,0.68,0.238,-8.37,32.15,39.68,-12.7
"2023-11-10","15:48:00",4416.12,"16 Nov 16 4370 P STO 10.00 | 16 Nov 16 4480 C STO 4.80 | 16 Nov 17 4370 P BTO 12.10 | 16 Nov 17 4480 C BTO 6.50",-385,4499.83,"2023-11-14","10:35:00",-400,"Below Delta",86.4,16,130381.4,6160,"",76.8,76.8,0.8,0.893,16.8,51.97,36.36,-37.66
"2023-11-03","15:48:00",4362.05,"14 Nov 9 4320 P STO 10.75 | 14 Nov 9 4425 C STO 4.85 | 14 Nov 10 4320 P BTO 13.40 | 14 Nov 10 4425 C BTO 6.75",-460,4381.94,"2023-11-09","09:50:00",-300,"Exited at Specified Time",-2374.4,14,130295,6440,"",67.2,67.2,0.77,0.141,16.45,27.82,14.13,-35.87
"2023-10-27","15:48:00",4106.93,"8 Nov 2 4040 P STO 17.10 | 8 Nov 2 4210 C STO 6.70 | 8 Nov 3 4040 P BTO 21.70 | 8 Nov 3 4210 C BTO 9.60",-755,4226.33,"2023-11-01","14:59:00",-830,"Below Delta",523.2,8,132669.4,6040,"",38.4,38.4,0.76,0.779,15.7,-46,13.25,-7.28
"2023-10-20","15:48:00",4227.33,"10 Oct 26 4165 P STO 16.15 | 10 Oct 26 4320 C STO 6.95 | 10 Oct 27 4165 P BTO 19.95 | 10 Oct 27 4320 C BTO 9.40",-630,4170.69,"2023-10-26","09:40:00",-855,"Profit Target",2154,10,132146.2,6300,"",48,48,0.79,0.604,-4.15,-46.52,36.51,-22.22
"2023-10-13","15:48:00",4320.75,"12 Oct 19 4255 P STO 14.95 | 12 Oct 19 4405 C STO 6.05 | 12 Oct 20 4255 P BTO 17.90 | 12 Oct 20 4405 C BTO 8.10",-505,4316.72,"2023-10-19","09:50:00",-500,"Exited at Specified Time",-175.2,12,129992.2,6060,"",57.6,57.6,0.81,0.205,10.88,-39.74,28.71,-36.63
"2023-10-06","15:48:00",4318.31,"13 Oct 12 4265 P STO 13.55 | 13 Oct 12 4400 C STO 5.60 | 13 Oct 13 4265 P BTO 16.50 | 13 Oct 13 4400 C BTO 7.60",-500,4369.62,"2023-10-12","09:50:00",-470,"Exited at Specified Time",-514.8,13,130167.4,6500,"",62.4,62.4,0.79,0.317,-23.4,83.52,25,-15
"2023-09-29","15:48:00",4292.63,"12 Oct 5 4235 P STO 13.65 | 12 Oct 5 4375 C STO 5.60 | 12 Oct 6 4235 P BTO 16.80 | 12 Oct 6 4375 C BTO 7.60",-520,4227.07,"2023-10-03","14:50:00",-705,"Profit Target",2104.8,12,130682.2,6240,"",57.6,57.6,0.79,0.797,28.48,-35.55,36.54,-100
"2023-09-22","15:48:00",4322.38,"9 Sep 28 4265 P STO 14.10 | 9 Sep 28 4395 C STO 5.95 | 9 Sep 29 4265 P BTO 17.90 | 9 Sep 29 4395 C BTO 8.70",-660,4244.48,"2023-09-27","13:28:00",-820,"Above Delta",1353.6,9,128577.4,5940,"",43.2,43.2,0.75,0.788,11.74,-19.36,33.33,-1.52
"2023-09-15","15:48:00",4450.77,"16 Sep 21 4410 P STO 9.80 | 16 Sep 21 4515 C STO 4.10 | 16 Sep 22 4410 P BTO 12.00 | 16 Sep 22 4515 C BTO 5.60",-375,4426.04,"2023-09-20","15:14:00",-510,"Profit Target",2006.4,16,127223.8,6000,"",76.8,76.8,0.79,0.597,-7.12,-47.21,38.67,-1.33
"2023-09-08","15:48:00",4453.91,"16 Sep 14 4415 P STO 9.90 | 16 Sep 14 4515 C STO 4.25 | 16 Sep 15 4415 P BTO 12.10 | 16 Sep 15 4515 C BTO 5.80",-380,4486.47,"2023-09-14","09:50:00",-405,"Exited at Specified Time",246.4,16,125217.4,6080,"",76.8,76.8,0.79,0.18,0.16,2.61,19.74,-3.95
"2023-09-01","15:48:00",4512.31,"15 Sep 7 4480 P STO 7.00 | 15 Sep 7 4560 C STO 3.40 | 15 Sep 8 4480 P BTO 9.30 | 15 Sep 8 4560 C BTO 5.20",-415,4464.91,"2023-09-06","10:29:00",-360,"Above Delta",-969,15,124971,6225,"",72,72,0.72,0.851,22.94,-18.29,12.05,-12.05
"2023-08-25","15:48:00",4411.22,"12 Aug 31 4365 P STO 11.45 | 12 Aug 31 4480 C STO 5.10 | 12 Sep 1 4365 P BTO 14.45 | 12 Sep 1 4480 C BTO 7.20",-515,4496.69,"2023-08-29","15:25:00",-560,"Below Delta",424.8,12,125940,6180,"",57.6,57.6,0.76,0.84,13.07,21.84,20.39,-4.85
"2023-08-18","15:48:00",4378.84,"8 Aug 24 4325 P STO 12.80 | 8 Aug 24 4460 C STO 5.25 | 8 Aug 25 4325 P BTO 16.90 | 8 Aug 25 4460 C BTO 8.15",-705,4450.16,"2023-08-24","09:32:00",-1035,"Profit Target",2563.2,8,125515.2,5640,"",38.4,38.4,0.72,0.397,-25.48,33.96,47.52,-4.96
"2023-08-11","15:48:00",4465.04,"13 Aug 17 4420 P STO 11.95 | 13 Aug 17 4530 C STO 5.05 | 13 Aug 18 4420 P BTO 14.65 | 13 Aug 18 4530 C BTO 6.95",-465,4404.07,"2023-08-16","16:00:00",-570,"Above Delta",1240.2,13,122952,6045,"",62.4,62.4,0.79,0.8,-18.14,14.35,30.11,-1.08
"2023-08-04","15:48:00",4477.63,"11 Aug 10 4425 P STO 12.60 | 11 Aug 10 4550 C STO 5.15 | 11 Aug 11 4425 P BTO 15.90 | 11 Aug 11 4550 C BTO 7.20",-540,4515.27,"2023-08-10","09:50:00",-390,"Exited at Specified Time",-1755.6,11,121711.8,5940,"",52.8,52.8,0.77,0.255,12.07,-36.33,0.93,-49.07
"2023-07-28","15:48:00",4580.16,"12 Aug 3 4545 P STO 7.85 | 12 Aug 3 4635 C STO 4.30 | 12 Aug 4 4545 P BTO 10.60 | 12 Aug 4 4635 C BTO 6.40",-490,4541.34,"2023-08-02","09:40:00",-665,"Profit Target",1984.8,12,123467.4,5880,"",57.6,57.6,0.71,0.704,28.34,14.41,36.73,-2.04
"2023-07-21","15:48:00",4539.46,"15 Jul 27 4500 P STO 10.70 | 15 Jul 27 4605 C STO 5.20 | 15 Jul 28 4500 P BTO 13.00 | 15 Jul 28 4605 C BTO 6.80",-395,4602.58,"2023-07-27","09:33:00",-535,"Profit Target",1956,15,121482.6,5925,"",72,72,0.8,0.567,15.29,-10.7,37.97,-25.32
"2023-07-14","15:48:00",4500.85,"16 Jul 20 4470 P STO 8.95 | 16 Jul 20 4560 C STO 3.70 | 16 Jul 21 4470 P BTO 11.00 | 16 Jul 21 4560 C BTO 5.30",-370,4573.28,"2023-07-19","09:37:00",-440,"Below Delta",966.4,16,119526.6,5920,"",76.8,76.8,0.78,0.833,4.57,-13.76,27.03,-2.7
"2023-07-07","15:48:00",4406.62,"16 Jul 13 4370 P STO 9.40 | 16 Jul 13 4470 C STO 4.00 | 16 Jul 14 4370 P BTO 11.60 | 16 Jul 14 4470 C BTO 5.40",-365,4482.86,"2023-07-12","09:49:00",-405,"Below Delta",486.4,16,118560.2,5840,"",76.8,76.8,0.79,0.853,-7.05,2.08,21.92,-1.37
"2023-06-30","15:48:00",4453.22,"11 Jul 6 4425 P STO 7.15 | 11 Jul 6 4500 C STO 3.80 | 11 Jul 7 4425 P BTO 10.15 | 11 Jul 7 4500 C BTO 6.00",-525,4408.01,"2023-07-06","09:32:00",-560,"Above Delta",279.4,11,118073.8,5775,"",52.8,52.8,0.68,0.774,26,30.78,22.86,-45.71
"2023-06-23","15:48:00",4352.29,"15 Jun 29 4320 P STO 8.00 | 15 Jun 29 4410 C STO 3.75 | 15 Jun 30 4320 P BTO 10.00 | 15 Jun 30 4410 C BTO 5.40",-370,4381.82,"2023-06-27","14:32:00",-500,"Profit Target",1806,15,117794.4,5550,"",72,72,0.76,0.582,-27.72,-1.88,37.84,-1.35
"2023-06-16","15:48:00",4419.83,"14 Jun 22 4385 P STO 8.00 | 14 Jun 22 4475 C STO 3.60 | 14 Jun 23 4385 P BTO 10.20 | 14 Jun 23 4475 C BTO 5.40",-405,4369,"2023-06-21","09:55:00",-355,"Above Delta",-834.4,14,115988.4,5670,"",67.2,67.2,0.74,0.865,15.11,-21.12,2.47,-33.33
"2023-06-09","15:48:00",4301.74,"19 Jun 15 4260 P STO 10.55 | 19 Jun 15 4370 C STO 4.80 | 19 Jun 16 4260 P BTO 12.30 | 19 Jun 16 4370 C BTO 6.00",-300,4354.6,"2023-06-13","09:32:00",-420,"Profit Target",2097.6,19,116822.8,5700,"",91.2,91.2,0.84,0.835,10.95,-3.14,41.67,-5
"2023-05-26","15:48:00",4207.95,"8 Jun 1 4155 P STO 13.30 | 8 Jun 1 4275 C STO 5.00 | 8 Jun 2 4155 P BTO 17.00 | 8 Jun 2 4275 C BTO 7.60",-635,4175.23,"2023-06-01","09:50:00",-710,"Exited at Specified Time",523.2,8,114725.2,5080,"",38.4,38.4,0.74,0.285,4.88,51.79,12.6,-19.69
"2023-05-19","15:48:00",4190.78,"13 May 25 4150 P STO 11.25 | 13 May 25 4255 C STO 4.50 | 13 May 26 4150 P BTO 13.75 | 13 May 26 4255 C BTO 6.20",-425,4123.63,"2023-05-24","09:32:00",-455,"Above Delta",265.2,13,114202,5525,"",62.4,62.4,0.79,0.878,6.1,-13.37,16.47,-1.18
"2023-05-12","15:48:00",4118.07,"12 May 18 4075 P STO 11.45 | 12 May 18 4175 C STO 3.95 | 12 May 19 4075 P BTO 14.20 | 12 May 19 4175 C BTO 5.70",-455,4154.84,"2023-05-18","09:32:00",-620,"Profit Target",1864.8,12,113936.8,5460,"",57.6,57.6,0.77,0.302,7.92,-20.47,37.36,-10.99
"2023-05-05","15:48:00",4137.13,"13 May 11 4085 P STO 12.10 | 13 May 11 4205 C STO 4.60 | 13 May 12 4085 P BTO 14.80 | 13 May 12 4205 C BTO 6.00",-415,4117.58,"2023-05-11","09:35:00",-565,"Profit Target",1825.2,13,112072,5395,"",62.4,62.4,0.8,0.354,23.51,52.4,40.96,-36.14
"2023-04-28","15:48:00",4161.11,"9 May 4 4110 P STO 12.65 | 9 May 4 4235 C STO 5.20 | 9 May 5 4110 P BTO 16.10 | 9 May 5 4235 C BTO 7.30",-560,4122.39,"2023-05-03","15:08:00",-760,"Profit Target",1713.6,9,110246.8,5040,"",43.2,43.2,0.76,0.651,-5.72,31.48,36.61,-31.25
"2023-04-21","15:48:00",4128.99,"10 Apr 27 4085 P STO 10.00 | 10 Apr 27 4190 C STO 4.10 | 10 Apr 28 4085 P BTO 13.25 | 10 Apr 28 4190 C BTO 6.10",-530,4065.76,"2023-04-26","10:19:00",-625,"Above Delta",854,10,108533.2,5300,"",48,48,0.73,0.813,2.35,-3.15,26.42,-0.94
"2023-04-14","15:48:00",4137.26,"12 Apr 20 4095 P STO 9.40 | 12 Apr 20 4200 C STO 4.25 | 12 Apr 21 4095 P BTO 12.00 | 12 Apr 21 4200 C BTO 6.00",-440,4131.35,"2023-04-20","09:50:00",-460,"Exited at Specified Time",124.8,12,107679.2,5280,"",57.6,57.6,0.76,0.162,-6.11,-2.85,21.59,-18.18
"2023-03-24","15:48:00",3963.61,"7 Mar 30 3890 P STO 16.95 | 7 Mar 30 4050 C STO 6.35 | 7 Mar 31 3890 P BTO 21.15 | 7 Mar 31 4050 C BTO 9.15",-705,4054.25,"2023-03-30","09:50:00",-805,"Exited at Specified Time",632.8,7,107554.4,4935,"",33.6,33.6,0.77,0.581,-9.51,24.4,16.31,-31.21
"2023-03-17","15:48:00",3911.39,"9 Mar 23 3810 P STO 23.05 | 9 Mar 23 4035 C STO 9.40 | 9 Mar 24 3810 P BTO 26.70 | 9 Mar 24 4035 C BTO 11.70",-600,3974.31,"2023-03-23","09:50:00",-330,"Exited at Specified Time",-2516.4,9,106921.6,5400,"",43.2,43.2,0.85,0.107,-1.59,-47.3,9.17,-58.33
"2023-03-10","15:48:00",3850.46,"9 Mar 16 3760 P STO 21.55 | 9 Mar 16 3975 C STO 8.75 | 9 Mar 17 3760 P BTO 25.20 | 9 Mar 17 3975 C BTO 10.90",-585,3849.45,"2023-03-15","12:19:00",-790,"Profit Target",1758.6,9,109438,5265,"",43.2,43.2,0.84,0.511,-5.55,-62.31,35.9,-15.38
"2023-03-03","15:48:00",4040.46,"6 Mar 9 3985 P STO 12.40 | 6 Mar 9 4125 C STO 5.60 | 6 Mar 10 3985 P BTO 17.40 | 6 Mar 10 4125 C BTO 8.80",-825,3991.46,"2023-03-08","09:32:00",-1145,"Profit Target",1862.4,6,107679.4,4950,"",28.8,28.8,0.69,0.601,16.67,42.44,39.39,-21.21
"2023-02-24","15:48:00",3961.48,"9 Mar 2 3905 P STO 14.20 | 9 Mar 2 4045 C STO 6.15 | 9 Mar 3 3905 P BTO 17.45 | 9 Mar 3 4045 C BTO 8.40",-555,3933.68,"2023-03-02","09:50:00",-675,"Exited at Specified Time",993.6,9,105817,4995,"",43.2,43.2,0.79,0.306,-39.08,-11.76,32.43,-14.41
